#,d2f/dtheta2,df/dtheta,f(xyz),plane,theta,variable,x,y,z
1,-0.0002306355176696987,0.0,0.2840979918157128,(100) plane,-2.4534847718864916,INS: tau FOO,0.0,-2.117137056876569,-0.0014985260754596177
2,0.00012153383249117589,0.0,0.28407873198533845,(100) plane,-1.680723234215302,INS: tau FOO,0.0,-1.480285643651575,1.5143457579763975
3,-0.00013301817869862666,0.0,0.2840972679189235,(100) plane,-0.8361217008844856,INS: tau FOO,0.0,-0.006262046568601454,2.1173674295411633
4,0.00249646658071374,0.0,0.28407768353060747,(100) plane,-0.022754088217856756,INS: tau FOO,0.0,1.4646649790357875,1.5419956270006512
5,-0.00011798309827859111,0.0,0.2840978360942661,(100) plane,0.5627104962723654,INS: tau FOO,0.0,2.1169532304191985,0.02750405894336578
6,0.00023685223564256112,0.0,0.28407844945764155,(100) plane,1.3468767076043549,INS: tau FOO,0.0,1.478609702986423,-1.5164606290770133
7,-8.712168179052681e-5,0.0,0.2840972553065081,(100) plane,2.2173966264681417,INS: tau FOO,0.0,0.0012386535226476605,-2.1171372114186227
8,0.00027835892096770236,0.0,0.284078259790123,(100) plane,2.9798769129790195,INS: tau FOO,0.0,-1.5006194072323225,-1.4948043579287282
1,-0.0002306355176696987,0.0,0.2840979918157128,(100) plane,-2.4534847718864916,INS: tau FOO,0.0,-2.117137056876569,-0.0014985260754596177
2,0.00012153383249117589,0.0,0.28407873198533845,(100) plane,-1.680723234215302,INS: tau FOO,0.0,-1.480285643651575,1.5143457579763975
3,-0.00013301817869862666,0.0,0.2840972679189235,(100) plane,-0.8361217008844856,INS: tau FOO,0.0,-0.006262046568601454,2.1173674295411633
4,0.00249646658071374,0.0,0.28407768353060747,(100) plane,-0.022754088217856756,INS: tau FOO,0.0,1.4646649790357875,1.5419956270006512
5,-0.00011798309827859111,0.0,0.2840978360942661,(100) plane,0.5627104962723654,INS: tau FOO,0.0,2.1169532304191985,0.02750405894336578
6,0.00023685223564256112,0.0,0.28407844945764155,(100) plane,1.3468767076043549,INS: tau FOO,0.0,1.478609702986423,-1.5164606290770133
7,-8.712168179052681e-5,0.0,0.2840972553065081,(100) plane,2.2173966264681417,INS: tau FOO,0.0,0.0012386535226476605,-2.1171372114186227
8,0.00027835892096770236,0.0,0.284078259790123,(100) plane,2.9798769129790195,INS: tau FOO,0.0,-1.5006194072323225,-1.4948043579287282
1,-0.0002306355176696987,0.0,0.2840979918157128,(100) plane,-2.4534847718864916,INS: tau FOO,0.0,-2.117137056876569,-0.0014985260754596177
2,0.00012153383249117589,0.0,0.28407873198533845,(100) plane,-1.680723234215302,INS: tau FOO,0.0,-1.480285643651575,1.5143457579763975
3,-0.00013301817869862666,0.0,0.2840972679189235,(100) plane,-0.8361217008844856,INS: tau FOO,0.0,-0.006262046568601454,2.1173674295411633
4,0.00249646658071374,0.0,0.28407768353060747,(100) plane,-0.022754088217856756,INS: tau FOO,0.0,1.4646649790357875,1.5419956270006512
5,-0.00011798309827859111,0.0,0.2840978360942661,(100) plane,0.5627104962723654,INS: tau FOO,0.0,2.1169532304191985,0.02750405894336578
6,0.00023685223564256112,0.0,0.28407844945764155,(100) plane,1.3468767076043549,INS: tau FOO,0.0,1.478609702986423,-1.5164606290770133
7,-8.712168179052681e-5,0.0,0.2840972553065081,(100) plane,2.2173966264681417,INS: tau FOO,0.0,0.0012386535226476605,-2.1171372114186227
8,0.00027835892096770236,0.0,0.284078259790123,(100) plane,2.9798769129790195,INS: tau FOO,0.0,-1.5006194072323225,-1.4948043579287282
1,-0.013626468792894848,0.0,0.005739652799153786,(100) plane,-2.4521085503759354,INS: Volume,0.0,-2.1171401383042374,0.0016274537746513822
2,0.006930304043840605,0.0,0.004063263608169342,(100) plane,-1.6794628327779317,INS: Volume,0.0,-1.4792063037602179,1.5154188952730505
3,-0.014450657944979326,0.0,0.005756008369723802,(100) plane,-0.8344743532839618,INS: Volume,0.0,-0.0035574112735884955,2.1173625646819345
4,0.20713938200355134,6.55713313235751e-17,0.004003364058314981,(100) plane,-0.022465698465571338,INS: Volume,0.0,1.4646400819830345,1.5420056524212404
5,-0.009537948507353799,0.0,0.005739046852983765,(100) plane,0.5731842455832539,INS: Volume,0.0,2.11708104898724,0.00761762691230663
6,0.00896746328671812,0.0,0.004067462542013034,(100) plane,1.3389592552425473,INS: Volume,0.0,1.48166520265993,-1.513369233462949
7,-0.00752615286599879,0.0,0.005753967836490173,(100) plane,2.2131997477807497,INS: Volume,0.0,0.00724878422028296,-2.1171358563083795
8,0.01060038974103615,0.0,0.004055583594243269,(100) plane,2.980077580740181,INS: Volume,0.0,-1.500557818900405,-1.4948673902938079
1,-0.013626468792894848,0.0,0.005739652799153786,(100) plane,-2.4521085503759354,INS: Volume,0.0,-2.1171401383042374,0.0016274537746513822
2,0.006930304043840605,0.0,0.004063263608169342,(100) plane,-1.6794628327779317,INS: Volume,0.0,-1.4792063037602179,1.5154188952730505
3,-0.014450657944979326,0.0,0.005756008369723802,(100) plane,-0.8344743532839618,INS: Volume,0.0,-0.0035574112735884955,2.1173625646819345
4,0.20713938200355134,6.55713313235751e-17,0.004003364058314981,(100) plane,-0.022465698465571338,INS: Volume,0.0,1.4646400819830345,1.5420056524212404
5,-0.009537948507353799,0.0,0.005739046852983765,(100) plane,0.5731842455832539,INS: Volume,0.0,2.11708104898724,0.00761762691230663
6,0.00896746328671812,0.0,0.004067462542013034,(100) plane,1.3389592552425473,INS: Volume,0.0,1.48166520265993,-1.513369233462949
7,-0.00752615286599879,0.0,0.005753967836490173,(100) plane,2.2131997477807497,INS: Volume,0.0,0.00724878422028296,-2.1171358563083795
8,0.01060038974103615,0.0,0.004055583594243269,(100) plane,2.980077580740181,INS: Volume,0.0,-1.500557818900405,-1.4948673902938079
1,-0.013626468792894848,0.0,0.005739652799153786,(100) plane,-2.4521085503759354,INS: Volume,0.0,-2.1171401383042374,0.0016274537746513822
2,0.006930304043840605,0.0,0.004063263608169342,(100) plane,-1.6794628327779317,INS: Volume,0.0,-1.4792063037602179,1.5154188952730505
3,-0.014450657944979326,0.0,0.005756008369723802,(100) plane,-0.8344743532839618,INS: Volume,0.0,-0.0035574112735884955,2.1173625646819345
4,0.20713938200355134,6.55713313235751e-17,0.004003364058314981,(100) plane,-0.022465698465571338,INS: Volume,0.0,1.4646400819830345,1.5420056524212404
5,-0.009537948507353799,0.0,0.005739046852983765,(100) plane,0.5731842455832539,INS: Volume,0.0,2.11708104898724,0.00761762691230663
6,0.00896746328671812,0.0,0.004067462542013034,(100) plane,1.3389592552425473,INS: Volume,0.0,1.48166520265993,-1.513369233462949
7,-0.00752615286599879,0.0,0.005753967836490173,(100) plane,2.2131997477807497,INS: Volume,0.0,0.00724878422028296,-2.1171358563083795
8,0.01060038974103615,0.0,0.004055583594243269,(100) plane,2.980077580740181,INS: Volume,0.0,-1.500557818900405,-1.4948673902938079
1,-4.560892806969358e-5,0.0,0.0021124457644215817,(100) plane,-2.455880423566947,INS: Electron Density FOO,0.0,-2.117120452951876,-0.00694240931499791
2,0.00023149867029036695,0.0,0.002102921221845119,(100) plane,-1.7518870711140322,INS: Electron Density FOO,0.0,-1.597081316261561,1.3892699666572836
3,-0.00012338276358967048,0.0,0.002103113164644651,(100) plane,-1.6828247687322273,INS: Electron Density FOO,0.0,-1.4821650059750344,1.5124679013640279
4,0.00019097005536059967,0.0,0.002102856279906201,(100) plane,-1.5811761665257749,INS: Electron Density FOO,0.0,-1.4097911087476718,1.5795966805729165
5,-0.00014284495202981215,0.0,0.0021124177551696704,(100) plane,-0.8300861637051528,INS: Electron Density FOO,0.0,0.0037861029732524643,2.117325271061798
