#,# matched,d2f/dtheta2,df/dtheta,distance,f(xyz),plane,theta,variable,x,y,z
7,1,-8.712168179052681e-5,0.0,0.00532302001824449,0.2840972553065081,(100) plane,2.2173966264681417,INS: tau FOO,0.0,0.0012386535226476605,-2.1171372114186227
1,1,-0.00010918713688485269,0.0,0.00532302001824449,0.28409725781243517,(010) plane,-2.458490403514258,INS: tau FOO,-0.005176737777249691,0.0,-2.117178022582047
3,2,-0.00013301817869862666,0.0,0.006285182985913406,0.2840972679189235,(100) plane,-0.8361217008844856,INS: tau FOO,0.0,-0.006262046568601454,2.1173674295411633
9,2,-0.00020921410040542127,0.0,0.006285182985913406,0.28409730438722847,(010) plane,0.6064315501360532,INS: tau FOO,-0.00027141601394461805,0.0,2.1178328662032953
1,3,-0.0002306355176696987,0.0,0.009078187049052578,0.2840979918157128,(100) plane,-2.4534847718864916,INS: tau FOO,0.0,-2.117137056876569,-0.0014985260754596177
2,3,-0.00017239529981732593,0.0,0.009078187049052578,0.28409798506359973,(110) plane,-2.199774806341589,INS: tau FOO,-0.007123821816016167,-2.1169932220360943,-0.0071238220116663295
5,4,-0.00011798309827859111,0.0,0.020054735512387904,0.2840978360942661,(100) plane,0.5627104962723654,INS: tau FOO,0.0,2.1169532304191985,0.02750405894336578
6,4,-0.00015112422157823282,2.7608981609926357e-16,0.020054735512387904,0.2840978292516794,(110) plane,0.9178585517876131,INS: tau FOO,0.010294216295130821,2.11715994249567,0.010294212998141969
7,5,-0.0004800765786927227,1.6565388965955816e-16,0.010446565275533889,0.284078833660555,(010) plane,-0.08751381350848166,INS: tau FOO,1.5004294316328362,0.0,1.4890264354476448
4,5,-0.0002149673743072366,0.0,0.010446565275533889,0.28407868108490447,(110) plane,-0.6214420098345789,INS: tau FOO,1.4970842660879062,0.005745603513014989,1.497084266036844
12,6,6.209353951955681e-5,0.0,0.010507048940425272,0.28407871535388773,(010) plane,2.9453198864648353,INS: tau FOO,-1.5043268798478988,0.0,-1.4899536315169242
8,6,-0.0001393480890924951,0.0,0.010507048940425272,0.28407871736441365,(110) plane,2.514653997708711,INS: tau FOO,-1.4971683420156603,-0.00266483882445608,-1.4971683420156603
